dep_code;year;n_doctors;doctor_density_per_100k;pop_jan1;density_check;rel_diff_pct
01;2012;1190;194.380000;612191;194.383779;0.001944
01;2013;1200;193.710000;619497;193.705539;-0.002303
01;2014;1194;190.700000;626127;190.696137;-0.002026
01;2015;1199;189.750000;631877;189.752119;0.001117
01;2016;1194;187.020000;638425;187.022751;0.001471
01;2017;1211;188.230000;643350;188.233465;0.001841
01;2018;1200;185.290000;647634;185.289840;-0.000087
01;2019;1182;181.170000;652432;181.168306;-0.000935
01;2020;1170;177.850000;657856;177.850472;0.000265
01;2021;1185;178.680000;663202;178.678593;-0.000788
02;2012;1258;232.580000;540888;232.580497;0.000214
02;2013;1254;232.190000;540067;232.193413;0.001470
02;2014;1232;228.240000;539783;228.239867;-0.000058
02;2015;1235;229.270000;538659;229.273065;0.001337
02;2016;1218;227.180000;536136;227.181163;0.000512
02;2017;1227;229.560000;534490;229.564632;0.002018
02;2018;1220;228.760000;533316;228.757435;-0.001121
02;2019;1179;221.890000;531345;221.889733;-0.000120
02;2020;1150;217.240000;529374;217.237719;-0.001050
02;2021;1162;220.300000;527468;220.297724;-0.001033
03;2012;950;277.040000;342911;277.039815;-0.000067
03;2013;960;279.530000;343431;279.532133;0.000763
03;2014;957;278.960000;343062;278.958322;-0.000601
03;2015;959;280.730000;341613;280.727022;-0.001061
03;2016;946;278.740000;339384;278.740306;0.000110
03;2017;939;277.820000;337988;277.820514;0.000185
03;2018;957;283.830000;337171;283.832239;0.000789
03;2019;929;276.510000;335975;276.508669;-0.000481
03;2020;910;271.130000;335628;271.133517;0.001297
03;2021;919;274.430000;334872;274.433216;0.001172
04;2012;494;306.370000;161241;306.373689;0.001204
04;2013;487;300.770000;161916;300.773240;0.001077
04;2014;488;302.000000;161588;302.002624;0.000869
04;2015;502;310.260000;161799;310.261497;0.000483
04;2016;506;311.260000;162565;311.260111;0.000036
04;2017;491;299.550000;163915;299.545496;-0.001504
04;2018;503;306.580000;164068;306.580198;0.000065
04;2019;494;300.650000;164308;300.654868;0.001619
04;2020;496;299.790000;165451;299.786644;-0.001120
04;2021;497;299.260000;166077;299.258778;-0.000408
05;2012;562;402.710000;139554;402.711495;0.000371
05;2013;575;412.840000;139279;412.840414;0.000100
05;2014;582;416.060000;139883;416.061995;0.000479
05;2015;590;418.690000;140916;418.689148;-0.000203
05;2016;599;424.500000;141107;424.500556;0.000131
05;2017;614;434.590000;141284;434.585657;-0.000999
05;2018;625;444.210000;140698;444.213848;0.000866
05;2019;633;448.240000;141220;448.236794;-0.000715
05;2020;678;482.200000;140605;482.201913;0.000397
05;2021;664;471.000000;140976;471.002156;0.000458
06;2012;4864;449.530000;1082014;449.532076;0.000462
06;2013;4871;450.700000;1080771;450.696771;-0.000716
06;2014;4883;450.750000;1083312;450.747338;-0.000591
06;2015;4863;449.260000;1082440;449.262777;0.000618
06;2016;4876;449.940000;1083704;449.938360;-0.000365
06;2017;4917;453.890000;1083310;453.886699;-0.000727
06;2018;4945;455.250000;1086219;455.248895;-0.000243
06;2019;4931;450.610000;1094283;450.614695;0.001042
06;2020;4929;449.150000;1097410;449.148450;-0.000345
06;2021;4977;450.840000;1103941;450.839311;-0.000153
07;2012;761;239.000000;318407;239.002283;0.000955
07;2013;784;244.710000;320379;244.710171;0.000070
07;2014;785;243.500000;322381;243.500703;0.000289
07;2015;808;249.220000;324209;249.221953;0.000783
07;2016;791;243.270000;325157;243.267099;-0.001193
07;2017;790;242.550000;325712;242.545562;-0.001830
07;2018;789;241.580000;326606;241.575476;-0.001873
07;2019;821;250.090000;328278;250.092909;0.001163
07;2020;770;233.810000;329325;233.811584;0.000678
07;2021;746;225.100000;331415;225.095424;-0.002033
08;2012;643;227.390000;282778;227.386855;-0.001383
08;2013;654;232.820000;280907;232.817267;-0.001174
08;2014;659;235.600000;279715;235.596947;-0.001296
08;2015;656;236.180000;277752;236.181918;0.000812
08;2016;650;236.050000;275371;236.045190;-0.002038
08;2017;642;234.670000;273579;234.667135;-0.001221
08;2018;663;243.890000;271845;243.888981;-0.000418
08;2019;645;238.380000;270582;238.375058;-0.002073
08;2020;640;237.300000;269701;237.299825;-0.000074
08;2021;634;235.810000;268859;235.811336;0.000567
09;2012;462;303.220000;152366;303.217253;-0.000906
09;2013;438;286.870000;152684;286.866993;-0.001048
09;2014;445;291.660000;152574;291.661751;0.000600
09;2015;453;297.050000;152499;297.051128;0.000380
09;2016;440;287.460000;153067;287.455820;-0.001454
09;2017;449;293.170000;153153;293.170881;0.000301
09;2018;440;287.460000;153066;287.457698;-0.000801
09;2019;425;277.260000;153287;277.257693;-0.000832
09;2020;428;278.010000;153954;278.005118;-0.001756
09;2021;420;271.680000;154596;271.675852;-0.001527
10;2012;724;236.910000;305606;236.906343;-0.001543
10;2013;729;237.780000;306581;237.783816;0.001605
10;2014;738;239.540000;308094;239.537284;-0.001134
10;2015;744;240.730000;309056;240.733071;0.001276
10;2016;748;242.140000;308910;242.141724;0.000712
10;2017;739;238.370000;310020;238.371718;0.000721
10;2018;725;233.860000;310020;233.855880;-0.001762
10;2019;722;232.720000;310242;232.721553;0.000667
10;2020;730;234.400000;311435;234.398831;-0.000499
10;2021;705;226.450000;311329;226.448548;-0.000641
11;2012;1074;296.410000;362339;296.407508;-0.000841
11;2013;1090;298.730000;364877;298.730805;0.000270
11;2014;1081;295.780000;365478;295.777037;-0.001002
11;2015;1075;292.950000;366957;292.949855;-0.000049
11;2016;1068;290.200000;368025;290.197677;-0.000801
11;2017;1070;288.990000;370260;288.986118;-0.001343
11;2018;1084;290.770000;372806;290.767852;-0.000739
11;2019;1108;296.200000;374070;296.201246;0.000421
11;2020;1067;284.370000;375217;284.368779;-0.000430
11;2021;1088;289.340000;376028;289.340156;0.000054
12;2012;749;271.150000;276229;271.151834;0.000676
12;2013;763;274.720000;277740;274.717362;-0.000960
12;2014;751;269.520000;278644;269.519530;-0.000174
12;2015;756;270.800000;279169;270.803707;0.001369
12;2016;765;274.490000;278697;274.491652;0.000602
12;2017;757;271.130000;279206;271.125979;-0.001483
12;2018;750;268.550000;279274;268.553464;0.001290
12;2019;746;266.810000;279595;266.814500;0.001686
12;2020;735;262.920000;279554;262.918792;-0.000459
12;2021;713;254.960000;279649;254.962471;0.000969
13;2012;8827;444.730000;1984784;444.733533;0.000794
13;2013;8839;443.460000;1993177;443.462874;0.000648
13;2014;8826;439.960000;2006069;439.964926;0.001120
13;2015;8792;435.980000;2016622;435.976598;-0.000780
13;2016;8892;440.260000;2019717;440.259700;-0.000068
13;2017;8851;437.270000;2024162;437.267373;-0.000601
