column_name;total_non_null;years_with_data;n_years
YEAR;960;[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021];10
CODGEO;960;[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021];10
D112_DEC;96;[2012];1
D112_DISP;96;[2012];1
D212_DEC;96;[2012];1
D212_DISP;96;[2012];1
D312_DEC;96;[2012];1
D312_DISP;96;[2012];1
D412_DEC;96;[2012];1
D412_DISP;96;[2012];1
D612_DEC;96;[2012];1
D612_DISP;96;[2012];1
D712_DEC;96;[2012];1
D712_DISP;96;[2012];1
D812_DEC;96;[2012];1
D812_DISP;96;[2012];1
D912_DEC;96;[2012];1
D912_DISP;96;[2012];1
GI12_DEC;96;[2012];1
GI12_DISP;96;[2012];1
LIBGEO;576;[2012, 2013, 2014, 2015, 2016, 2017];6
NBMEN12;96;[2012];1
NBPERS12;96;[2012];1
NBUC12_DEC;96;[2012];1
NBUC12_DISP;96;[2012];1
PAUT12;96;[2012];1
PBEN12_DEC;96;[2012];1
PBEN12_DISP;96;[2012];1
PCHO12;96;[2012];1
PIMPOT12;96;[2012];1
PMIMP12;96;[2012];1
PPAT12;96;[2012];1
PPEN12_DEC;96;[2012];1
PPEN12_DISP;96;[2012];1
PPFAM12;96;[2012];1
PPLOGT12;96;[2012];1
PPMINI12;96;[2012];1
PPSOC12;96;[2012];1
PTSA12;96;[2012];1
PTSAC12;96;[2012];1
Q112_DEC;96;[2012];1
Q112_DISP;96;[2012];1
Q212_DEC;96;[2012];1
Q212_DISP;96;[2012];1
Q312_DEC;96;[2012];1
Q312_DISP;96;[2012];1
Q3_Q1_DEC;960;[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021];10
Q3_Q1_DISP;960;[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021];10
RD_DEC;960;[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021];10
RD_DISP;960;[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021];10
S80S2012_DEC;96;[2012];1
S80S2012_DISP;96;[2012];1
TP4012;96;[2012];1
TP5012;96;[2012];1
TP6012;96;[2012];1
TP60D112;96;[2012];1
TP60D912;96;[2012];1
TP60GI12;96;[2012];1
TP60IP12;96;[2012];1
TP60PAUT12;96;[2012];1
TP60PBEN12;96;[2012];1
TP60PCHO12;96;[2012];1
TP60PPEN12;96;[2012];1
TP60PTSA12;96;[2012];1
TP60Q212;96;[2012];1
TP60RD;92;[2012];1
TP60SEN12;96;[2012];1
TR10PAUT12;96;[2012];1
TR10PBEN12_TR_DEC;96;[2012];1
TR10PBEN12_TR_DISP;96;[2012];1
TR10PCHO12;96;[2012];1
TR10PIMPOT12;96;[2012];1
TR10PPAT12;96;[2012];1
TR10PPEN12_TR_DEC;96;[2012];1
TR10PPEN12_TR_DISP;96;[2012];1
TR10PPFAM12;96;[2012];1
TR10PPLOGT12;96;[2012];1
TR10PPMINI12;96;[2012];1
TR10PPSOC12;96;[2012];1
TR10PTSA12;96;[2012];1
TR10PTSAC12;96;[2012];1
TR1PAUT12;96;[2012];1
TR1PBEN12_TR_DEC;96;[2012];1
TR1PBEN12_TR_DISP;96;[2012];1
TR1PCHO12;96;[2012];1
TR1PIMPOT12;96;[2012];1
TR1PPAT12;96;[2012];1
TR1PPEN12_TR_DEC;96;[2012];1
TR1PPEN12_TR_DISP;96;[2012];1
TR1PPFAM12;96;[2012];1
TR1PPLOGT12;96;[2012];1
TR1PPMINI12;96;[2012];1
TR1PPSOC12;96;[2012];1
TR1PTSA12;96;[2012];1
TR1PTSAC12;96;[2012];1
TR2PAUT12;96;[2012];1
TR2PBEN12_TR_DEC;96;[2012];1
TR2PBEN12_TR_DISP;96;[2012];1
TR2PCHO12;96;[2012];1
TR2PIMPOT12;96;[2012];1
TR2PPAT12;96;[2012];1
TR2PPEN12_TR_DEC;96;[2012];1
TR2PPEN12_TR_DISP;96;[2012];1
TR2PPFAM12;96;[2012];1
TR2PPLOGT12;96;[2012];1
TR2PPMINI12;96;[2012];1
TR2PPSOC12;96;[2012];1
TR2PTSA12;96;[2012];1
TR2PTSAC12;96;[2012];1
TR3PAUT12;96;[2012];1
TR3PBEN12_TR_DEC;96;[2012];1
TR3PBEN12_TR_DISP;96;[2012];1
