dep_code;year;total_firm_creations;legal_form_sum;legal_form_diff;sector_sum;sector_diff;status
01;2012;4579;4579;0;4579;0;EXACT
01;2013;4595;4595;0;4595;0;EXACT
01;2014;4916;4916;0;4916;0;EXACT
01;2015;4435;4435;0;4435;0;EXACT
01;2016;4848;4848;0;4848;0;EXACT
01;2017;5052;5052;0;5052;0;EXACT
01;2018;5750;5750;0;5750;0;EXACT
01;2019;7084;7084;0;7084;0;EXACT
01;2020;7253;7253;0;7253;0;EXACT
01;2021;8164;8164;0;8164;0;EXACT
02;2012;2916;2916;0;2916;0;EXACT
02;2013;2888;2888;0;2888;0;EXACT
02;2014;2754;2754;0;2754;0;EXACT
02;2015;2640;2640;0;2640;0;EXACT
02;2016;2687;2687;0;2687;0;EXACT
02;2017;3038;3038;0;3038;0;EXACT
02;2018;3173;3173;0;3173;0;EXACT
02;2019;3572;3572;0;3572;0;EXACT
02;2020;3753;3753;0;3753;0;EXACT
02;2021;4525;4525;0;4525;0;EXACT
03;2012;2077;2077;0;2077;0;EXACT
03;2013;2142;2142;0;2142;0;EXACT
03;2014;2081;2081;0;2081;0;EXACT
03;2015;1933;1933;0;1933;0;EXACT
03;2016;1894;1894;0;1894;0;EXACT
03;2017;2020;2020;0;2020;0;EXACT
03;2018;2096;2096;0;2096;0;EXACT
03;2019;2375;2375;0;2375;0;EXACT
03;2020;2533;2533;0;2533;0;EXACT
03;2021;3151;3151;0;3151;0;EXACT
04;2012;1713;1713;0;1713;0;EXACT
04;2013;1638;1638;0;1638;0;EXACT
04;2014;1671;1671;0;1671;0;EXACT
04;2015;1632;1632;0;1632;0;EXACT
04;2016;1524;1524;0;1524;0;EXACT
04;2017;1590;1590;0;1590;0;EXACT
04;2018;1751;1751;0;1751;0;EXACT
04;2019;2064;2064;0;2064;0;EXACT
04;2020;2014;2014;0;2014;0;EXACT
04;2021;2498;2498;0;2498;0;EXACT
05;2012;1530;1530;0;1530;0;EXACT
05;2013;1568;1568;0;1568;0;EXACT
05;2014;1569;1569;0;1569;0;EXACT
05;2015;1454;1454;0;1454;0;EXACT
05;2016;1454;1454;0;1454;0;EXACT
05;2017;1517;1517;0;1517;0;EXACT
05;2018;1683;1683;0;1683;0;EXACT
05;2019;1896;1896;0;1896;0;EXACT
05;2020;1911;1911;0;1911;0;EXACT
05;2021;2242;2242;0;2242;0;EXACT
06;2012;16969;16969;0;16969;0;EXACT
06;2013;15992;15992;0;15992;0;EXACT
06;2014;15776;15776;0;15776;0;EXACT
06;2015;15483;15483;0;15483;0;EXACT
06;2016;16105;16105;0;16105;0;EXACT
06;2017;16818;16818;0;16818;0;EXACT
06;2018;19049;19049;0;19049;0;EXACT
06;2019;21608;21608;0;21608;0;EXACT
06;2020;22544;22544;0;22544;0;EXACT
06;2021;26771;26771;0;26771;0;EXACT
07;2012;2696;2696;0;2696;0;EXACT
07;2013;2694;2694;0;2694;0;EXACT
07;2014;2820;2820;0;2820;0;EXACT
07;2015;2521;2521;0;2521;0;EXACT
07;2016;2581;2581;0;2581;0;EXACT
07;2017;2704;2704;0;2704;0;EXACT
07;2018;2977;2977;0;2977;0;EXACT
07;2019;3321;3321;0;3321;0;EXACT
07;2020;3387;3387;0;3387;0;EXACT
07;2021;4080;4080;0;4080;0;EXACT
08;2012;1580;1580;0;1580;0;EXACT
08;2013;1836;1836;0;1836;0;EXACT
08;2014;1698;1698;0;1698;0;EXACT
08;2015;1360;1360;0;1360;0;EXACT
08;2016;1514;1514;0;1514;0;EXACT
08;2017;1679;1679;0;1679;0;EXACT
08;2018;1640;1640;0;1640;0;EXACT
08;2019;1921;1921;0;1921;0;EXACT
08;2020;2096;2096;0;2096;0;EXACT
08;2021;2354;2354;0;2354;0;EXACT
09;2012;1503;1503;0;1503;0;EXACT
09;2013;1404;1404;0;1404;0;EXACT
09;2014;1468;1468;0;1468;0;EXACT
09;2015;1245;1245;0;1245;0;EXACT
09;2016;1249;1249;0;1249;0;EXACT
09;2017;1364;1364;0;1364;0;EXACT
09;2018;1517;1517;0;1517;0;EXACT
09;2019;1663;1663;0;1663;0;EXACT
09;2020;1778;1778;0;1778;0;EXACT
09;2021;2059;2059;0;2059;0;EXACT
10;2012;1954;1954;0;1954;0;EXACT
10;2013;1936;1936;0;1936;0;EXACT
10;2014;2048;2048;0;2048;0;EXACT
10;2015;1730;1730;0;1730;0;EXACT
10;2016;1778;1778;0;1778;0;EXACT
10;2017;1953;1953;0;1953;0;EXACT
10;2018;2374;2374;0;2374;0;EXACT
10;2019;2708;2708;0;2708;0;EXACT
10;2020;2975;2975;0;2975;0;EXACT
10;2021;3623;3623;0;3623;0;EXACT
11;2012;3523;3523;0;3523;0;EXACT
11;2013;3528;3528;0;3528;0;EXACT
11;2014;3433;3433;0;3433;0;EXACT
11;2015;3278;3278;0;3278;0;EXACT
11;2016;3429;3429;0;3429;0;EXACT
11;2017;3481;3481;0;3481;0;EXACT
11;2018;3740;3740;0;3740;0;EXACT
11;2019;4285;4285;0;4285;0;EXACT
11;2020;4266;4266;0;4266;0;EXACT
11;2021;5087;5087;0;5087;0;EXACT
12;2012;1913;1913;0;1913;0;EXACT
12;2013;1858;1858;0;1858;0;EXACT
12;2014;1888;1888;0;1888;0;EXACT
12;2015;1695;1695;0;1695;0;EXACT
12;2016;1806;1806;0;1806;0;EXACT
12;2017;1875;1875;0;1875;0;EXACT
12;2018;2051;2051;0;2051;0;EXACT
12;2019;2414;2414;0;2414;0;EXACT
12;2020;2647;2647;0;2647;0;EXACT
12;2021;3074;3074;0;3074;0;EXACT
13;2012;22307;22307;0;22307;0;EXACT
13;2013;21881;21881;0;21881;0;EXACT
13;2014;21508;21508;0;21508;0;EXACT
13;2015;20970;20970;0;20970;0;EXACT
13;2016;22190;22190;0;22190;0;EXACT
13;2017;24407;24407;0;24407;0;EXACT
13;2018;28923;28923;0;28923;0;EXACT
13;2019;33354;33354;0;33354;0;EXACT
13;2020;34370;34370;0;34370;0;EXACT
13;2021;44107;44107;0;44107;0;EXACT
14;2012;5249;5249;0;5249;0;EXACT
14;2013;5015;5015;0;5015;0;EXACT
14;2014;5223;5223;0;5223;0;EXACT
14;2015;4861;4861;0;4861;0;EXACT
14;2016;4960;4960;0;4960;0;EXACT
14;2017;5414;5414;0;5414;0;EXACT
14;2018;6287;6287;0;6287;0;EXACT
14;2019;7554;7554;0;7554;0;EXACT
14;2020;7814;7814;0;7814;0;EXACT
14;2021;9244;9244;0;9244;0;EXACT
15;2012;773;773;0;773;0;EXACT
15;2013;739;739;0;739;0;EXACT
15;2014;782;782;0;782;0;EXACT
15;2015;778;778;0;778;0;EXACT
15;2016;718;718;0;718;0;EXACT
15;2017;751;751;0;751;0;EXACT
15;2018;819;819;0;819;0;EXACT
15;2019;900;900;0;900;0;EXACT
15;2020;945;945;0;945;0;EXACT
15;2021;1167;1167;0;1167;0;EXACT
16;2012;2409;2409;0;2409;0;EXACT
16;2013;2551;2551;0;2551;0;EXACT
16;2014;2467;2467;0;2467;0;EXACT
16;2015;2300;2300;0;2300;0;EXACT
