dep_code;year;panel;bdm;diff;status
01;2012;6.8;6.9;0.1;WITHIN_0.1
01;2013;7.2;7.2;0.0;EXACT
01;2014;7.1;7.1;0.0;EXACT
01;2015;7.3;7.4;0.1;WITHIN_0.1
01;2016;7.3;7.4;0.1;WITHIN_0.1
01;2017;6.8;6.7;0.1;WITHIN_0.1
01;2018;6.3;6.3;0.0;EXACT
01;2019;6.0;6.1;0.1;WITHIN_0.1
01;2020;6.1;6.1;0.0;EXACT
01;2021;5.9;5.9;0.0;EXACT
02;2012;13.7;13.7;0.0;EXACT
02;2013;14.2;14.2;0.0;EXACT
02;2014;13.9;13.9;0.0;EXACT
02;2015;13.9;13.9;0.0;EXACT
02;2016;13.6;13.6;0.0;EXACT
02;2017;13.0;13.0;0.0;EXACT
02;2018;12.4;12.4;0.0;EXACT
02;2019;11.6;11.6;0.0;EXACT
02;2020;11.0;11.0;0.0;EXACT
02;2021;10.9;11.0;0.1;WITHIN_0.1
03;2012;9.8;9.8;0.0;EXACT
03;2013;10.2;10.2;0.0;EXACT
03;2014;10.3;10.3;0.0;EXACT
03;2015;10.6;10.6;0.0;EXACT
03;2016;10.4;10.4;0.0;EXACT
03;2017;9.7;9.7;0.0;EXACT
03;2018;9.3;9.4;0.1;WITHIN_0.1
03;2019;8.9;8.9;0.0;EXACT
03;2020;8.5;8.5;0.0;EXACT
03;2021;8.2;8.1;0.1;WITHIN_0.1
04;2012;10.6;10.6;0.0;EXACT
04;2013;11.2;11.1;0.1;WITHIN_0.1
04;2014;11.2;11.2;0.0;EXACT
04;2015;11.3;11.4;0.1;WITHIN_0.1
04;2016;11.1;11.1;0.0;EXACT
04;2017;10.7;10.7;0.0;EXACT
04;2018;10.4;10.4;0.0;EXACT
04;2019;9.8;9.8;0.0;EXACT
04;2020;9.1;9.1;0.0;EXACT
04;2021;8.8;8.8;0.0;EXACT
05;2012;8.6;8.6;0.0;EXACT
05;2013;9.2;9.2;0.0;EXACT
05;2014;9.2;9.2;0.0;EXACT
05;2015;9.4;9.4;0.0;EXACT
05;2016;9.2;9.3;0.1;WITHIN_0.1
