dep_code;year;live_births
01;2012;7242
01;2013;7296
01;2014;7354
01;2015;6996
01;2016;7099
01;2017;6949
01;2018;7101
01;2019;6907
01;2020;6806
01;2021;7022
02;2012;6755
02;2013;6559
02;2014;6468
02;2015;6269
02;2016;5825
02;2017;5890
02;2018;5571
02;2019;5394
02;2020;5338
02;2021;5348
03;2012;3288
03;2013;3198
03;2014;3152
03;2015;2992
03;2016;3008
03;2017;2877
03;2018;2742
03;2019;2777
03;2020;2594
03;2021;2772
04;2012;1561
04;2013;1629
04;2014;1538
04;2015;1501
04;2016;1499
04;2017;1447
04;2018;1395
04;2019;1369
04;2020;1329
04;2021;1447
05;2012;1441
05;2013;1406
05;2014;1383
05;2015;1347
05;2016;1298
05;2017;1215
05;2018;1235
05;2019;1221
05;2020;1157
05;2021;1282
06;2012;12087
06;2013;12149
06;2014;12170
06;2015;12068
06;2016;11956
06;2017;11888
06;2018;11631
06;2019;11580
06;2020;11216
06;2021;11407
07;2012;3405
07;2013;3179
07;2014;3254
07;2015;3249
07;2016;2875
07;2017;2995
07;2018;2891
07;2019;2982
07;2020;2754
07;2021;2890
08;2012;3258
08;2013;3021
08;2014;2966
08;2015;2799
08;2016;2747
08;2017;2521
08;2018;2464
08;2019;2566
08;2020;2458
08;2021;2416
09;2012;1425
09;2013;1413
09;2014;1364
09;2015;1377
09;2016;1317
09;2017;1257
09;2018;1234
09;2019;1205
09;2020;1196
09;2021;1205
10;2012;3587
10;2013;3436
10;2014;3377
10;2015;3454
10;2016;3341
10;2017;3129
10;2018;3154
10;2019;3107
10;2020;3088
10;2021;3005
11;2012;3669
11;2013;3618
11;2014;3516
11;2015;3531
11;2016;3385
11;2017;3313
11;2018;3228
11;2019;3205
11;2020;3237
11;2021;3246
12;2012;2615
12;2013;2475
12;2014;2555
12;2015;2361
12;2016;2390
12;2017;2316
12;2018;2247
12;2019;2175
12;2020;2178
12;2021;2272
13;2012;26328
13;2013;26762
13;2014;26384
13;2015;26249
13;2016;25834
13;2017;25790
13;2018;25586
13;2019;25288
13;2020;24670
13;2021;24766
14;2012;7833
14;2013;7644
14;2014;7466
14;2015;7199
14;2016;6927
14;2017;6680
14;2018;6680
14;2019;6621
14;2020;6552
14;2021;6760
15;2012;1230
15;2013;1290
15;2014;1214
15;2015;1128
15;2016;1068
15;2017;1067
15;2018;1110
15;2019;1016
15;2020;1029
15;2021;1039
16;2012;3490
16;2013;3472
16;2014;3378
16;2015;3272
16;2016;3183
16;2017;3034
16;2018;2955
16;2019;2987
16;2020;2931
16;2021;2984
17;2012;5916
17;2013;5778
17;2014;5846
17;2015;5425
17;2016;5474
17;2017;5151
17;2018;5061
17;2019;5149
17;2020;4941
17;2021;5207
18;2012;3120
18;2013;3128
18;2014;3097
18;2015;2825
18;2016;2875
18;2017;2788
18;2018;2662
18;2019;2771
18;2020;2601
18;2021;2665
19;2012;2163
19;2013;2055
19;2014;2094
19;2015;1946
19;2016;1986
19;2017;1919
