dep_code;year;deaths
01;2012;4577
01;2013;4565
01;2014;4542
01;2015;4832
01;2016;4815
01;2017;5050
01;2018;5025
01;2019;5005
01;2020;5864
01;2021;5312
02;2012;5598
02;2013;5617
02;2014;5462
02;2015;5730
02;2016;5666
02;2017;5687
02;2018;5814
02;2019;5831
02;2020;6382
02;2021;6262
03;2012;4346
03;2013;4312
03;2014;4125
03;2015;4436
03;2016;4482
03;2017;4375
03;2018;4362
03;2019;4463
03;2020;4818
03;2021;4628
04;2012;1674
04;2013;1723
04;2014;1812
04;2015;1832
04;2016;1892
04;2017;1893
04;2018;1958
04;2019;1961
04;2020;2068
04;2021;2196
05;2012;1308
05;2013;1270
05;2014;1322
05;2015;1410
05;2016;1455
05;2017;1388
05;2018;1419
05;2019;1466
05;2020;1670
05;2021;1572
06;2012;11374
06;2013;11142
06;2014;11203
06;2015;11858
06;2016;11643
06;2017;12099
06;2018;11765
06;2019;11817
06;2020;12452
06;2021;13495
07;2012;3465
07;2013;3402
07;2014;3399
07;2015;3658
07;2016;3628
07;2017;3787
07;2018;3828
07;2019;3819
07;2020;4277
07;2021;3895
08;2012;2939
08;2013;2789
08;2014;2735
08;2015;2855
08;2016;2896
08;2017;2946
08;2018;2935
08;2019;2953
08;2020;3195
08;2021;3195
09;2012;1884
09;2013;1776
09;2014;1776
09;2015;1790
09;2016;1833
09;2017;1946
09;2018;1857
09;2019;1950
09;2020;1937
09;2021;2011
10;2012;3005
10;2013;3066
10;2014;2973
10;2015;3140
10;2016;3195
10;2017;3176
10;2018;3218
10;2019;3275
10;2020;3492
10;2021;3452
11;2012;4173
11;2013;4017
11;2014;4016
11;2015;4184
11;2016;4401
11;2017;4381
11;2018;4546
11;2019;4331
11;2020;4655
11;2021;4883
12;2012;3455
12;2013;3443
12;2014;3267
12;2015;3515
12;2016;3528
12;2017;3612
12;2018;3409
12;2019;3452
12;2020;3626
12;2021;3666
13;2012;17240
13;2013;17069
13;2014;16767
13;2015;17897
13;2016;17686
13;2017;18311
13;2018;18166
13;2019;18394
13;2020;20785
13;2021;20892
14;2012;6391
14;2013;6386
14;2014;6190
14;2015;6697
14;2016;6717
14;2017;6918
14;2018;6973
14;2019;7063
14;2020;7363
14;2021;7570
15;2012;2059
15;2013;1968
15;2014;1973
15;2015;2049
15;2016;2035
15;2017;2217
15;2018;2062
15;2019;2058
15;2020;2138
15;2021;2211
16;2012;3963
16;2013;3959
16;2014;3735
16;2015;4157
16;2016;4103
16;2017;4191
16;2018;4233
16;2019;4324
16;2020;4284
16;2021;4485
17;2012;7144
17;2013;7472
17;2014;7124
17;2015;7612
17;2016;7673
17;2017;7944
17;2018;7923
17;2019;7972
17;2020;8204
17;2021;8689
18;2012;3672
18;2013;3597
18;2014;3526
18;2015;3721
18;2016;3815
18;2017;3725
18;2018;3881
18;2019;3912
18;2020;4179
18;2021;4153
19;2012;3099
19;2013;3161
19;2014;3046
19;2015;3155
19;2016;3191
19;2017;3135
19;2018;3179
19;2019;3243
19;2020;3183
19;2021;3353
21;2012;4701
21;2013;4688
21;2014;4422
21;2015;4808
21;2016;4819
21;2017;5070
21;2018;4975
21;2019;4920
21;2020;5594
21;2021;5091
22;2012;6917
22;2013;7138
22;2014;6860
22;2015;7262
22;2016;7282
22;2017;7415
22;2018;7588
22;2019;7723
22;2020;7711
22;2021;7935
23;2012;1929
23;2013;1881
23;2014;1866
23;2015;1984
23;2016;1976
23;2017;1985
23;2018;1939
23;2019;1956
23;2020;2013
23;2021;2006
24;2012;5273
24;2013;5266
24;2014;5241
24;2015;5492
24;2016;5592
24;2017;5651
24;2018;5598
24;2019;5578
24;2020;5597
24;2021;6231
25;2012;4305
25;2013;4182
25;2014;4296
25;2015;4442
25;2016;4466
25;2017;4629
25;2018;4827
25;2019;4721
25;2020;5425
25;2021;4933
26;2012;4358
26;2013;4419
26;2014;4388
26;2015;4523
26;2016;4623
26;2017;4809
26;2018;4888
26;2019;4963
26;2020;5291
26;2021;5223
27;2012;5218
27;2013;5236
27;2014;5201
27;2015;5271
27;2016;5321
