dep_code;year;pct_urban;density_class;density_is_static
"01";2012;47.4779;rural;True
"01";2013;47.4779;rural;True
"01";2014;47.4779;rural;True
"01";2015;47.4779;rural;True
"01";2016;47.4779;rural;True
"01";2017;47.4779;rural;True
"01";2018;47.4779;rural;True
"01";2019;47.4779;rural;True
"01";2020;47.4779;rural;True
"01";2021;47.4779;rural;True
"02";2012;40.985654;rural;True
"02";2013;40.985654;rural;True
"02";2014;40.985654;rural;True
"02";2015;40.985654;rural;True
"02";2016;40.985654;rural;True
"02";2017;40.985654;rural;True
"02";2018;40.985654;rural;True
"02";2019;40.985654;rural;True
"02";2020;40.985654;rural;True
"02";2021;40.985654;rural;True
"03";2012;39.472891;rural;True
"03";2013;39.472891;rural;True
"03";2014;39.472891;rural;True
"03";2015;39.472891;rural;True
"03";2016;39.472891;rural;True
"03";2017;39.472891;rural;True
"03";2018;39.472891;rural;True
"03";2019;39.472891;rural;True
"03";2020;39.472891;rural;True
"03";2021;39.472891;rural;True
"04";2012;38.83618;rural;True
"04";2013;38.83618;rural;True
"04";2014;38.83618;rural;True
"04";2015;38.83618;rural;True
"04";2016;38.83618;rural;True
"04";2017;38.83618;rural;True
"04";2018;38.83618;rural;True
"04";2019;38.83618;rural;True
"04";2020;38.83618;rural;True
"04";2021;38.83618;rural;True
"05";2012;38.962507;rural;True
"05";2013;38.962507;rural;True
"05";2014;38.962507;rural;True
"05";2015;38.962507;rural;True
"05";2016;38.962507;rural;True
"05";2017;38.962507;rural;True
"05";2018;38.962507;rural;True
"05";2019;38.962507;rural;True
"05";2020;38.962507;rural;True
"05";2021;38.962507;rural;True
"06";2012;91.02182;urban;True
"06";2013;91.02182;urban;True
"06";2014;91.02182;urban;True
"06";2015;91.02182;urban;True
"06";2016;91.02182;urban;True
"06";2017;91.02182;urban;True
"06";2018;91.02182;urban;True
"06";2019;91.02182;urban;True
"06";2020;91.02182;urban;True
"06";2021;91.02182;urban;True
"07";2012;37.683849;rural;True
"07";2013;37.683849;rural;True
"07";2014;37.683849;rural;True
"07";2015;37.683849;rural;True
"07";2016;37.683849;rural;True
"07";2017;37.683849;rural;True
"07";2018;37.683849;rural;True
"07";2019;37.683849;rural;True
"07";2020;37.683849;rural;True
"07";2021;37.683849;rural;True
"08";2012;43.511528;rural;True
"08";2013;43.511528;rural;True
"08";2014;43.511528;rural;True
"08";2015;43.511528;rural;True
"08";2016;43.511528;rural;True
"08";2017;43.511528;rural;True
"08";2018;43.511528;rural;True
"08";2019;43.511528;rural;True
"08";2020;43.511528;rural;True
"08";2021;43.511528;rural;True
"09";2012;33.478106;rural;True
"09";2013;33.478106;rural;True
"09";2014;33.478106;rural;True
"09";2015;33.478106;rural;True
"09";2016;33.478106;rural;True
"09";2017;33.478106;rural;True
"09";2018;33.478106;rural;True
"09";2019;33.478106;rural;True
"09";2020;33.478106;rural;True
"09";2021;33.478106;rural;True
"10";2012;51.010492;intermediate;True
"10";2013;51.010492;intermediate;True
"10";2014;51.010492;intermediate;True
"10";2015;51.010492;intermediate;True
"10";2016;51.010492;intermediate;True
"10";2017;51.010492;intermediate;True
"10";2018;51.010492;intermediate;True
"10";2019;51.010492;intermediate;True
"10";2020;51.010492;intermediate;True
"10";2021;51.010492;intermediate;True
"11";2012;42.127565;rural;True
"11";2013;42.127565;rural;True
"11";2014;42.127565;rural;True
"11";2015;42.127565;rural;True
"11";2016;42.127565;rural;True
"11";2017;42.127565;rural;True
"11";2018;42.127565;rural;True
"11";2019;42.127565;rural;True
"11";2020;42.127565;rural;True
"11";2021;42.127565;rural;True
"12";2012;28.571259;rural;True
"12";2013;28.571259;rural;True
"12";2014;28.571259;rural;True
"12";2015;28.571259;rural;True
"12";2016;28.571259;rural;True
"12";2017;28.571259;rural;True
"12";2018;28.571259;rural;True
"12";2019;28.571259;rural;True
"12";2020;28.571259;rural;True
"12";2021;28.571259;rural;True
"13";2012;87.963552;urban;True
"13";2013;87.963552;urban;True
"13";2014;87.963552;urban;True
"13";2015;87.963552;urban;True
"13";2016;87.963552;urban;True
"13";2017;87.963552;urban;True
"13";2018;87.963552;urban;True
"13";2019;87.963552;urban;True
"13";2020;87.963552;urban;True
"13";2021;87.963552;urban;True
"14";2012;53.42535;intermediate;True
"14";2013;53.42535;intermediate;True
"14";2014;53.42535;intermediate;True
"14";2015;53.42535;intermediate;True
"14";2016;53.42535;intermediate;True
"14";2017;53.42535;intermediate;True
"14";2018;53.42535;intermediate;True
"14";2019;53.42535;intermediate;True
"14";2020;53.42535;intermediate;True
"14";2021;53.42535;intermediate;True
"15";2012;24.17434;rural;True
"15";2013;24.17434;rural;True
"15";2014;24.17434;rural;True
"15";2015;24.17434;rural;True
"15";2016;24.17434;rural;True
"15";2017;24.17434;rural;True
"15";2018;24.17434;rural;True
"15";2019;24.17434;rural;True
"15";2020;24.17434;rural;True
"15";2021;24.17434;rural;True
"16";2012;34.44227;rural;True
"16";2013;34.44227;rural;True
"16";2014;34.44227;rural;True
"16";2015;34.44227;rural;True
"16";2016;34.44227;rural;True
"16";2017;34.44227;rural;True
"16";2018;34.44227;rural;True
"16";2019;34.44227;rural;True
"16";2020;34.44227;rural;True
"16";2021;34.44227;rural;True
"17";2012;40.47491;rural;True
"17";2013;40.47491;rural;True
"17";2014;40.47491;rural;True
"17";2015;40.47491;rural;True
"17";2016;40.47491;rural;True
"17";2017;40.47491;rural;True
"17";2018;40.47491;rural;True
"17";2019;40.47491;rural;True
"17";2020;40.47491;rural;True
"17";2021;40.47491;rural;True
"18";2012;39.847792;rural;True
"18";2013;39.847792;rural;True
"18";2014;39.847792;rural;True
"18";2015;39.847792;rural;True
"18";2016;39.847792;rural;True
"18";2017;39.847792;rural;True
"18";2018;39.847792;rural;True
"18";2019;39.847792;rural;True
"18";2020;39.847792;rural;True
"18";2021;39.847792;rural;True
"19";2012;30.987867;rural;True
"19";2013;30.987867;rural;True
"19";2014;30.987867;rural;True
"19";2015;30.987867;rural;True
"19";2016;30.987867;rural;True
"19";2017;30.987867;rural;True
"19";2018;30.987867;rural;True
"19";2019;30.987867;rural;True
"19";2020;30.987867;rural;True
"19";2021;30.987867;rural;True
"21";2012;53.495788;intermediate;True
"21";2013;53.495788;intermediate;True
"21";2014;53.495788;intermediate;True
"21";2015;53.495788;intermediate;True
"21";2016;53.495788;intermediate;True
"21";2017;53.495788;intermediate;True
"21";2018;53.495788;intermediate;True
"21";2019;53.495788;intermediate;True
"21";2020;53.495788;intermediate;True
"21";2021;53.495788;intermediate;True
"22";2012;30.646403;rural;True
"22";2013;30.646403;rural;True
"22";2014;30.646403;rural;True
"22";2015;30.646403;rural;True
"22";2016;30.646403;rural;True
"22";2017;30.646403;rural;True
"22";2018;30.646403;rural;True
"22";2019;30.646403;rural;True
"22";2020;30.646403;rural;True
"22";2021;30.646403;rural;True
"23";2012;10.268361;rural;True
"23";2013;10.268361;rural;True
"23";2014;10.268361;rural;True
"23";2015;10.268361;rural;True
"23";2016;10.268361;rural;True
"23";2017;10.268361;rural;True
"23";2018;10.268361;rural;True
"23";2019;10.268361;rural;True
"23";2020;10.268361;rural;True
"23";2021;10.268361;rural;True
"24";2012;20.853504;rural;True
"24";2013;20.853504;rural;True
"24";2014;20.853504;rural;True
"24";2015;20.853504;rural;True
"24";2016;20.853504;rural;True
"24";2017;20.853504;rural;True
"24";2018;20.853504;rural;True
"24";2019;20.853504;rural;True
"24";2020;20.853504;rural;True
"24";2021;20.853504;rural;True
"25";2012;54.785228;intermediate;True
"25";2013;54.785228;intermediate;True
"25";2014;54.785228;intermediate;True
"25";2015;54.785228;intermediate;True
"25";2016;54.785228;intermediate;True
"25";2017;54.785228;intermediate;True
"25";2018;54.785228;intermediate;True
"25";2019;54.785228;intermediate;True
"25";2020;54.785228;intermediate;True
"25";2021;54.785228;intermediate;True
"26";2012;50.566882;intermediate;True
"26";2013;50.566882;intermediate;True
"26";2014;50.566882;intermediate;True
"26";2015;50.566882;intermediate;True
"26";2016;50.566882;intermediate;True
"26";2017;50.566882;intermediate;True
"26";2018;50.566882;intermediate;True
"26";2019;50.566882;intermediate;True
"26";2020;50.566882;intermediate;True
"26";2021;50.566882;intermediate;True
"27";2012;36.880223;rural;True
"27";2013;36.880223;rural;True
"27";2014;36.880223;rural;True
"27";2015;36.880223;rural;True
"27";2016;36.880223;rural;True
"27";2017;36.880223;rural;True
"27";2018;36.880223;rural;True
"27";2019;36.880223;rural;True
"27";2020;36.880223;rural;True
"27";2021;36.880223;rural;True
"28";2012;44.638038;rural;True
"28";2013;44.638038;rural;True
"28";2014;44.638038;rural;True
"28";2015;44.638038;rural;True
"28";2016;44.638038;rural;True
"28";2017;44.638038;rural;True
"28";2018;44.638038;rural;True
"28";2019;44.638038;rural;True
"28";2020;44.638038;rural;True
"28";2021;44.638038;rural;True
"29";2012;46.472089;rural;True
"29";2013;46.472089;rural;True
"29";2014;46.472089;rural;True
"29";2015;46.472089;rural;True
"29";2016;46.472089;rural;True
"29";2017;46.472089;rural;True
"29";2018;46.472089;rural;True
"29";2019;46.472089;rural;True
"29";2020;46.472089;rural;True
"29";2021;46.472089;rural;True
"30";2012;61.310185;intermediate;True
"30";2013;61.310185;intermediate;True
"30";2014;61.310185;intermediate;True
"30";2015;61.310185;intermediate;True
"30";2016;61.310185;intermediate;True
"30";2017;61.310185;intermediate;True
"30";2018;61.310185;intermediate;True
"30";2019;61.310185;intermediate;True
"30";2020;61.310185;intermediate;True
"30";2021;61.310185;intermediate;True
"31";2012;75.215939;urban;True
"31";2013;75.215939;urban;True
"31";2014;75.215939;urban;True
"31";2015;75.215939;urban;True
"31";2016;75.215939;urban;True
"31";2017;75.215939;urban;True
"31";2018;75.215939;urban;True
"31";2019;75.215939;urban;True
"31";2020;75.215939;urban;True
"31";2021;75.215939;urban;True
"32";2012;13.75802;rural;True
"32";2013;13.75802;rural;True
"32";2014;13.75802;rural;True
"32";2015;13.75802;rural;True
"32";2016;13.75802;rural;True
"32";2017;13.75802;rural;True
"32";2018;13.75802;rural;True
"32";2019;13.75802;rural;True
"32";2020;13.75802;rural;True
"32";2021;13.75802;rural;True
"33";2012;69.082302;urban;True
"33";2013;69.082302;urban;True
"33";2014;69.082302;urban;True
"33";2015;69.082302;urban;True
"33";2016;69.082302;urban;True
"33";2017;69.082302;urban;True
"33";2018;69.082302;urban;True
"33";2019;69.082302;urban;True
"33";2020;69.082302;urban;True
"33";2021;69.082302;urban;True
"34";2012;74.957765;intermediate;True
"34";2013;74.957765;intermediate;True
"34";2014;74.957765;intermediate;True
"34";2015;74.957765;intermediate;True
"34";2016;74.957765;intermediate;True
"34";2017;74.957765;intermediate;True
"34";2018;74.957765;intermediate;True
"34";2019;74.957765;intermediate;True
"34";2020;74.957765;intermediate;True
"34";2021;74.957765;intermediate;True
"35";2012;52.109318;intermediate;True
"35";2013;52.109318;intermediate;True
"35";2014;52.109318;intermediate;True
"35";2015;52.109318;intermediate;True
"35";2016;52.109318;intermediate;True
"35";2017;52.109318;intermediate;True
"35";2018;52.109318;intermediate;True
"35";2019;52.109318;intermediate;True
"35";2020;52.109318;intermediate;True
"35";2021;52.109318;intermediate;True
"36";2012;32.339118;rural;True
"36";2013;32.339118;rural;True
"36";2014;32.339118;rural;True
"36";2015;32.339118;rural;True
"36";2016;32.339118;rural;True
"36";2017;32.339118;rural;True
"36";2018;32.339118;rural;True
"36";2019;32.339118;rural;True
"36";2020;32.339118;rural;True
"36";2021;32.339118;rural;True
"37";2012;57.839849;intermediate;True
"37";2013;57.839849;intermediate;True
"37";2014;57.839849;intermediate;True
"37";2015;57.839849;intermediate;True
"37";2016;57.839849;intermediate;True
"37";2017;57.839849;intermediate;True
"37";2018;57.839849;intermediate;True
"37";2019;57.839849;intermediate;True
"37";2020;57.839849;intermediate;True
"37";2021;57.839849;intermediate;True
"38";2012;63.146713;intermediate;True
"38";2013;63.146713;intermediate;True
"38";2014;63.146713;intermediate;True
"38";2015;63.146713;intermediate;True
"38";2016;63.146713;intermediate;True
"38";2017;63.146713;intermediate;True
"38";2018;63.146713;intermediate;True
"38";2019;63.146713;intermediate;True
"38";2020;63.146713;intermediate;True
"38";2021;63.146713;intermediate;True
"39";2012;28.005256;rural;True
"39";2013;28.005256;rural;True
"39";2014;28.005256;rural;True
"39";2015;28.005256;rural;True
"39";2016;28.005256;rural;True
"39";2017;28.005256;rural;True
"39";2018;28.005256;rural;True
"39";2019;28.005256;rural;True
"39";2020;28.005256;rural;True
"39";2021;28.005256;rural;True
"40";2012;34.975953;rural;True
"40";2013;34.975953;rural;True
"40";2014;34.975953;rural;True
"40";2015;34.975953;rural;True
"40";2016;34.975953;rural;True
"40";2017;34.975953;rural;True
"40";2018;34.975953;rural;True
"40";2019;34.975953;rural;True
"40";2020;34.975953;rural;True
"40";2021;34.975953;rural;True
"41";2012;32.54879;rural;True
"41";2013;32.54879;rural;True
"41";2014;32.54879;rural;True
"41";2015;32.54879;rural;True
"41";2016;32.54879;rural;True
"41";2017;32.54879;rural;True
"41";2018;32.54879;rural;True
"41";2019;32.54879;rural;True
"41";2020;32.54879;rural;True
"41";2021;32.54879;rural;True
"42";2012;65.337428;intermediate;True
"42";2013;65.337428;intermediate;True
"42";2014;65.337428;intermediate;True
"42";2015;65.337428;intermediate;True
"42";2016;65.337428;intermediate;True
"42";2017;65.337428;intermediate;True
"42";2018;65.337428;intermediate;True
"42";2019;65.337428;intermediate;True
"42";2020;65.337428;intermediate;True
"42";2021;65.337428;intermediate;True
"43";2012;26.925563;rural;True
"43";2013;26.925563;rural;True
"43";2014;26.925563;rural;True
"43";2015;26.925563;rural;True
"43";2016;26.925563;rural;True
"43";2017;26.925563;rural;True
"43";2018;26.925563;rural;True
"43";2019;26.925563;rural;True
"43";2020;26.925563;rural;True
"43";2021;26.925563;rural;True
"44";2012;63.834846;urban;True
"44";2013;63.834846;urban;True
"44";2014;63.834846;urban;True
"44";2015;63.834846;urban;True
"44";2016;63.834846;urban;True
"44";2017;63.834846;urban;True
"44";2018;63.834846;urban;True
"44";2019;63.834846;urban;True
"44";2020;63.834846;urban;True
"44";2021;63.834846;urban;True
"45";2012;60.159679;intermediate;True
"45";2013;60.159679;intermediate;True
"45";2014;60.159679;intermediate;True
"45";2015;60.159679;intermediate;True
"45";2016;60.159679;intermediate;True
"45";2017;60.159679;intermediate;True
"45";2018;60.159679;intermediate;True
"45";2019;60.159679;intermediate;True
"45";2020;60.159679;intermediate;True
"45";2021;60.159679;intermediate;True
"46";2012;14.995671;rural;True
"46";2013;14.995671;rural;True
"46";2014;14.995671;rural;True
"46";2015;14.995671;rural;True
"46";2016;14.995671;rural;True
"46";2017;14.995671;rural;True
"46";2018;14.995671;rural;True
"46";2019;14.995671;rural;True
"46";2020;14.995671;rural;True
"46";2021;14.995671;rural;True
"47";2012;35.090831;rural;True
"47";2013;35.090831;rural;True
"47";2014;35.090831;rural;True
"47";2015;35.090831;rural;True
"47";2016;35.090831;rural;True
"47";2017;35.090831;rural;True
"47";2018;35.090831;rural;True
"47";2019;35.090831;rural;True
"47";2020;35.090831;rural;True
"47";2021;35.090831;rural;True
"48";2012;14.827466;rural;True
"48";2013;14.827466;rural;True
"48";2014;14.827466;rural;True
"48";2015;14.827466;rural;True
"48";2016;14.827466;rural;True
"48";2017;14.827466;rural;True
"48";2018;14.827466;rural;True
"48";2019;14.827466;rural;True
"48";2020;14.827466;rural;True
"48";2021;14.827466;rural;True
"49";2012;44.438736;intermediate;True
"49";2013;44.438736;intermediate;True
"49";2014;44.438736;intermediate;True
"49";2015;44.438736;intermediate;True
"49";2016;44.438736;intermediate;True
"49";2017;44.438736;intermediate;True
"49";2018;44.438736;intermediate;True
"49";2019;44.438736;intermediate;True
"49";2020;44.438736;intermediate;True
"49";2021;44.438736;intermediate;True
"50";2012;31.340367;rural;True
"50";2013;31.340367;rural;True
"50";2014;31.340367;rural;True
"50";2015;31.340367;rural;True
"50";2016;31.340367;rural;True
"50";2017;31.340367;rural;True
"50";2018;31.340367;rural;True
"50";2019;31.340367;rural;True
"50";2020;31.340367;rural;True
"50";2021;31.340367;rural;True
"51";2012;57.829225;intermediate;True
"51";2013;57.829225;intermediate;True
"51";2014;57.829225;intermediate;True
"51";2015;57.829225;intermediate;True
"51";2016;57.829225;intermediate;True
"51";2017;57.829225;intermediate;True
"51";2018;57.829225;intermediate;True
"51";2019;57.829225;intermediate;True
"51";2020;57.829225;intermediate;True
"51";2021;57.829225;intermediate;True
"52";2012;30.654127;rural;True
"52";2013;30.654127;rural;True
"52";2014;30.654127;rural;True
"52";2015;30.654127;rural;True
"52";2016;30.654127;rural;True
"52";2017;30.654127;rural;True
"52";2018;30.654127;rural;True
"52";2019;30.654127;rural;True
"52";2020;30.654127;rural;True
"52";2021;30.654127;rural;True
"53";2012;32.504755;rural;True
"53";2013;32.504755;rural;True
"53";2014;32.504755;rural;True
"53";2015;32.504755;rural;True
"53";2016;32.504755;rural;True
"53";2017;32.504755;rural;True
"53";2018;32.504755;rural;True
"53";2019;32.504755;rural;True
"53";2020;32.504755;rural;True
"53";2021;32.504755;rural;True
"54";2012;67.997881;intermediate;True
"54";2013;67.997881;intermediate;True
"54";2014;67.997881;intermediate;True
"54";2015;67.997881;intermediate;True
"54";2016;67.997881;intermediate;True
"54";2017;67.997881;intermediate;True
"54";2018;67.997881;intermediate;True
"54";2019;67.997881;intermediate;True
"54";2020;67.997881;intermediate;True
"54";2021;67.997881;intermediate;True
"55";2012;24.474652;rural;True
"55";2013;24.474652;rural;True
"55";2014;24.474652;rural;True
"55";2015;24.474652;rural;True
"55";2016;24.474652;rural;True
"55";2017;24.474652;rural;True
"55";2018;24.474652;rural;True
"55";2019;24.474652;rural;True
"55";2020;24.474652;rural;True
"55";2021;24.474652;rural;True
"56";2012;37.9254;rural;True
"56";2013;37.9254;rural;True
"56";2014;37.9254;rural;True
"56";2015;37.9254;rural;True
"56";2016;37.9254;rural;True
"56";2017;37.9254;rural;True
"56";2018;37.9254;rural;True
"56";2019;37.9254;rural;True
"56";2020;37.9254;rural;True
"56";2021;37.9254;rural;True
"57";2012;65.113224;intermediate;True
"57";2013;65.113224;intermediate;True
"57";2014;65.113224;intermediate;True
"57";2015;65.113224;intermediate;True
"57";2016;65.113224;intermediate;True
"57";2017;65.113224;intermediate;True
"57";2018;65.113224;intermediate;True
"57";2019;65.113224;intermediate;True
"57";2020;65.113224;intermediate;True
"57";2021;65.113224;intermediate;True
"58";2012;33.202433;rural;True
"58";2013;33.202433;rural;True
"58";2014;33.202433;rural;True
"58";2015;33.202433;rural;True
"58";2016;33.202433;rural;True
"58";2017;33.202433;rural;True
"58";2018;33.202433;rural;True
"58";2019;33.202433;rural;True
"58";2020;33.202433;rural;True
"58";2021;33.202433;rural;True
"59";2012;82.775438;urban;True
"59";2013;82.775438;urban;True
"59";2014;82.775438;urban;True
"59";2015;82.775438;urban;True
"59";2016;82.775438;urban;True
"59";2017;82.775438;urban;True
"59";2018;82.775438;urban;True
"59";2019;82.775438;urban;True
"59";2020;82.775438;urban;True
"59";2021;82.775438;urban;True
"60";2012;54.59685;intermediate;True
"60";2013;54.59685;intermediate;True
"60";2014;54.59685;intermediate;True
"60";2015;54.59685;intermediate;True
"60";2016;54.59685;intermediate;True
"60";2017;54.59685;intermediate;True
"60";2018;54.59685;intermediate;True
"60";2019;54.59685;intermediate;True
"60";2020;54.59685;intermediate;True
"60";2021;54.59685;intermediate;True
"61";2012;25.992271;rural;True
"61";2013;25.992271;rural;True
"61";2014;25.992271;rural;True
"61";2015;25.992271;rural;True
"61";2016;25.992271;rural;True
"61";2017;25.992271;rural;True
"61";2018;25.992271;rural;True
"61";2019;25.992271;rural;True
"61";2020;25.992271;rural;True
"61";2021;25.992271;rural;True
"62";2012;69.803162;intermediate;True
"62";2013;69.803162;intermediate;True
"62";2014;69.803162;intermediate;True
"62";2015;69.803162;intermediate;True
"62";2016;69.803162;intermediate;True
"62";2017;69.803162;intermediate;True
"62";2018;69.803162;intermediate;True
"62";2019;69.803162;intermediate;True
"62";2020;69.803162;intermediate;True
"62";2021;69.803162;intermediate;True
"63";2012;56.128812;intermediate;True
"63";2013;56.128812;intermediate;True
"63";2014;56.128812;intermediate;True
"63";2015;56.128812;intermediate;True
"63";2016;56.128812;intermediate;True
"63";2017;56.128812;intermediate;True
"63";2018;56.128812;intermediate;True
"63";2019;56.128812;intermediate;True
"63";2020;56.128812;intermediate;True
"63";2021;56.128812;intermediate;True
"64";2012;58.714871;intermediate;True
"64";2013;58.714871;intermediate;True
