dep_code;year;doctor_density_per_100k;n_doctors
"01";2012;194.38;1190
"01";2013;193.71;1200
"01";2014;190.7;1194
"01";2015;189.75;1199
"01";2016;187.02;1194
"01";2017;188.23;1211
"01";2018;185.29;1200
"01";2019;181.17;1182
"01";2020;177.85;1170
"01";2021;178.68;1185
"02";2012;232.58;1258
"02";2013;232.19;1254
"02";2014;228.24;1232
"02";2015;229.27;1235
"02";2016;227.18;1218
"02";2017;229.56;1227
"02";2018;228.76;1220
"02";2019;221.89;1179
"02";2020;217.24;1150
"02";2021;220.3;1162
"03";2012;277.04;950
"03";2013;279.53;960
"03";2014;278.96;957
"03";2015;280.73;959
"03";2016;278.74;946
"03";2017;277.82;939
"03";2018;283.83;957
"03";2019;276.51;929
"03";2020;271.13;910
"03";2021;274.43;919
"04";2012;306.37;494
"04";2013;300.77;487
"04";2014;302.0;488
"04";2015;310.26;502
"04";2016;311.26;506
"04";2017;299.55;491
"04";2018;306.58;503
"04";2019;300.65;494
"04";2020;299.79;496
"04";2021;299.26;497
"05";2012;402.71;562
"05";2013;412.84;575
"05";2014;416.06;582
"05";2015;418.69;590
"05";2016;424.5;599
"05";2017;434.59;614
"05";2018;444.21;625
"05";2019;448.24;633
"05";2020;482.2;678
"05";2021;471.0;664
"06";2012;449.53;4864
"06";2013;450.7;4871
"06";2014;450.75;4883
"06";2015;449.26;4863
"06";2016;449.94;4876
"06";2017;453.89;4917
"06";2018;455.25;4945
"06";2019;450.61;4931
"06";2020;449.15;4929
"06";2021;450.84;4977
"07";2012;239.0;761
"07";2013;244.71;784
"07";2014;243.5;785
"07";2015;249.22;808
"07";2016;243.27;791
"07";2017;242.55;790
"07";2018;241.58;789
"07";2019;250.09;821
"07";2020;233.81;770
"07";2021;225.1;746
"08";2012;227.39;643
"08";2013;232.82;654
"08";2014;235.6;659
"08";2015;236.18;656
"08";2016;236.05;650
"08";2017;234.67;642
"08";2018;243.89;663
"08";2019;238.38;645
"08";2020;237.3;640
"08";2021;235.81;634
"09";2012;303.22;462
"09";2013;286.87;438
"09";2014;291.66;445
"09";2015;297.05;453
"09";2016;287.46;440
"09";2017;293.17;449
"09";2018;287.46;440
"09";2019;277.26;425
"09";2020;278.01;428
"09";2021;271.68;420
"10";2012;236.91;724
"10";2013;237.78;729
"10";2014;239.54;738
"10";2015;240.73;744
"10";2016;242.14;748
"10";2017;238.37;739
"10";2018;233.86;725
"10";2019;232.72;722
"10";2020;234.4;730
"10";2021;226.45;705
"11";2012;296.41;1074
"11";2013;298.73;1090
"11";2014;295.78;1081
"11";2015;292.95;1075
"11";2016;290.2;1068
"11";2017;288.99;1070
"11";2018;290.77;1084
"11";2019;296.2;1108
"11";2020;284.37;1067
"11";2021;289.34;1088
"12";2012;271.15;749
"12";2013;274.72;763
"12";2014;269.52;751
"12";2015;270.8;756
"12";2016;274.49;765
"12";2017;271.13;757
"12";2018;268.55;750
"12";2019;266.81;746
"12";2020;262.92;735
"12";2021;254.96;713
