"dep_code";"year";"edu_share_sup";"edu_is_interpolated"
"01";2012;25.32;True
"01";2013;25.95;True
"01";2014;26.57;True
"01";2015;27.2;True
"01";2016;27.82;False
"01";2017;28.57;True
"01";2018;29.33;True
"01";2019;30.08;True
"01";2020;30.83;True
"01";2021;31.59;True
"02";2012;16.59;True
"02";2013;17.04;True
"02";2014;17.48;True
"02";2015;17.93;True
"02";2016;18.37;False
"02";2017;18.81;True
"02";2018;19.25;True
"02";2019;19.7;True
"02";2020;20.14;True
"02";2021;20.58;True
"03";2012;17.85;True
"03";2013;18.4;True
"03";2014;18.95;True
"03";2015;19.5;True
"03";2016;20.05;False
"03";2017;20.52;True
"03";2018;21.0;True
"03";2019;21.47;True
"03";2020;21.94;True
"03";2021;22.42;True
"04";2012;23.59;True
"04";2013;24.2;True
"04";2014;24.81;True
"04";2015;25.42;True
"04";2016;26.03;False
"04";2017;26.68;True
"04";2018;27.32;True
"04";2019;27.96;True
"04";2020;28.61;True
"04";2021;29.25;True
"05";2012;26.15;True
"05";2013;26.82;True
"05";2014;27.5;True
"05";2015;28.17;True
"05";2016;28.85;False
"05";2017;29.55;True
"05";2018;30.25;True
"05";2019;30.95;True
"05";2020;31.64;True
"05";2021;32.34;True
"06";2012;28.15;True
"06";2013;28.9;True
"06";2014;29.64;True
"06";2015;30.39;True
"06";2016;31.14;False
"06";2017;31.87;True
"06";2018;32.59;True
"06";2019;33.32;True
"06";2020;34.05;True
"06";2021;34.77;True
"07";2012;21.6;True
"07";2013;22.2;True
"07";2014;22.81;True
"07";2015;23.41;True
"07";2016;24.01;False
"07";2017;24.66;True
"07";2018;25.3;True
"07";2019;25.95;True
"07";2020;26.59;True
"07";2021;27.23;True
"08";2012;16.43;True
"08";2013;16.99;True
"08";2014;17.55;True
"08";2015;18.11;True
"08";2016;18.67;False
"08";2017;19.2;True
"08";2018;19.73;True
"08";2019;20.26;True
"08";2020;20.79;True
"08";2021;21.32;True
"09";2012;20.92;True
"09";2013;21.48;True
"09";2014;22.03;True
"09";2015;22.59;True
"09";2016;23.15;False
"09";2017;23.83;True
"09";2018;24.5;True
"09";2019;25.18;True
"09";2020;25.86;True
"09";2021;26.53;True
"10";2012;18.49;True
"10";2013;18.99;True
"10";2014;19.48;True
"10";2015;19.98;True
"10";2016;20.48;False
"10";2017;21.06;True
"10";2018;21.64;True
"10";2019;22.22;True
"10";2020;22.8;True
