"dep_code";"year";"edu_share_sup"
"01";2011;24.7
"01";2016;27.82
"01";2022;32.34
"02";2011;16.15
"02";2016;18.37
"02";2022;21.02
"03";2011;17.3
"03";2016;20.05
"03";2022;22.89
"04";2011;22.98
"04";2016;26.03
"04";2022;29.9
"05";2011;25.47
"05";2016;28.85
"05";2022;33.04
"06";2011;27.4
"06";2016;31.14
"06";2022;35.5
"07";2011;21.0
"07";2016;24.01
"07";2022;27.88
"08";2011;15.87
"08";2016;18.67
"08";2022;21.85
"09";2011;20.36
"09";2016;23.15
"09";2022;27.21
"10";2011;17.99
"10";2016;20.48
"10";2022;23.96
"11";2011;20.17
"11";2016;23.45
"11";2022;26.46
"12";2011;20.99
"12";2016;23.83
"12";2022;28.26
"13";2011;27.67
"13";2016;31.47
"13";2022;35.91
"14";2011;22.21
"14";2016;25.36
"14";2022;29.91
"15";2011;16.7
"15";2016;19.51
"15";2022;23.05
"16";2011;18.56
"16";2016;21.52
"16";2022;25.15
"17";2011;19.76
"17";2016;23.19
"17";2022;27.59
"18";2011;18.33
"18";2016;21.2
"18";2022;24.15
"19";2011;19.61
"19";2016;22.26
"19";2022;26.22
"21";2011;25.42
"21";2016;28.75
"21";2022;33.3
"22";2011;21.72
"22";2016;24.71
"22";2022;28.77
"23";2011;15.98
"23";2016;18.51
"23";2022;22.11
"24";2011;18.14
"24";2016;20.78
"24";2022;24.53
"25";2011;23.95
"25";2016;27.02
"25";2022;30.61
"26";2011;23.64
"26";2016;27.24
"26";2022;31.64
"27";2011;19.14
"27";2016;21.88
"27";2022;24.92
"28";2011;19.81
"28";2016;22.63
"28";2022;25.86
"29";2011;24.83
"29";2016;28.75
"29";2022;33.7
"2A";2011;20.66
"2A";2016;24.79
"2A";2022;29.25
"2B";2011;20.5
"2B";2016;24.47
"2B";2022;26.63
"30";2011;23.1
"30";2016;26.22
"30";2022;29.56
"31";2011;36.63
"31";2016;40.91
"31";2022;45.35
"32";2011;21.09
"32";2016;24.38
"32";2022;28.33
"33";2011;27.68
"33";2016;32.14
"33";2022;37.64
"34";2011;27.97
"34";2016;31.99
"34";2022;36.26
"35";2011;27.78
"35";2016;32.48
"35";2022;37.77
"36";2011;15.06
"36";2016;17.63
"36";2022;20.93
"37";2011;24.55
"37";2016;28.43
"37";2022;32.87
"38";2011;29.65
"38";2016;32.94
"38";2022;37.07
"39";2011;19.61
"39";2016;22.68
"39";2022;26.54
"40";2011;20.4
"40";2016;23.36
"40";2022;27.51
"41";2011;18.19
"41";2016;21.3
"41";2022;24.37
"42";2011;20.96
"42";2016;23.58
"42";2022;27.58
"43";2011;19.5
"43";2016;22.57
"43";2022;26.6
"44";2011;27.96
"44";2016;32.87
"44";2022;38.46
"45";2011;23.2
"45";2016;26.44
"45";2022;29.88
"46";2011;20.99
"46";2016;24.26
"46";2022;28.4
"47";2011;18.49
"47";2016;21.19
"47";2022;24.5
"48";2011;22.35
"48";2016;25.24
"48";2022;28.31
