dep_code;year;total_firm_creations;creations_individual;creations_sarl;creations_sas;creations_other_legal;creations_sector_industry;creations_sector_construction;creations_sector_trade;creations_sector_services
01;2012;4579;3493;797;224;65;262;792;965;2560
01;2013;4595;3524;668;329;74;292;715;1030;2558
01;2014;4916;3767;619;457;73;324;769;1076;2747
01;2015;4435;3271;552;541;71;245;564;1084;2542
01;2016;4848;3526;535;708;79;246;583;1219;2800
01;2017;5052;3634;539;793;86;288;598;1275;2891
01;2018;5750;4272;574;815;89;278;691;1464;3317
01;2019;7084;5490;610;908;76;414;890;1587;4193
01;2020;7253;5668;506;989;90;443;853;1685;4272
01;2021;8164;6180;650;1236;98;549;946;1503;5166
02;2012;2916;2319;446;98;53;177;575;682;1482
02;2013;2888;2250;400;159;79;161;445;798;1484
02;2014;2754;2120;380;188;66;160;416;726;1452
02;2015;2640;1965;324;277;74;128;383;723;1406
02;2016;2687;1996;281;336;74;136;378;803;1370
02;2017;3038;2270;343;350;75;169;361;882;1626
02;2018;3173;2464;290;350;69;164;378;990;1641
02;2019;3572;2828;265;411;68;214;388;980;1990
02;2020;3753;2970;267;444;72;236;383;1206;1928
02;2021;4525;3578;318;554;75;382;427;1224;2492
03;2012;2077;1694;287;66;30;111;316;496;1154
03;2013;2142;1672;291;138;41;134;297;622;1089
03;2014;2081;1621;262;164;34;137;263;544;1137
03;2015;1933;1521;201;177;34;126;232;516;1059
03;2016;1894;1395;220;243;36;107;191;532;1064
03;2017;2020;1550;200;242;28;100;204;568;1148
03;2018;2096;1616;208;251;21;123;219;581;1173
03;2019;2375;1885;201;267;22;159;229;635;1352
03;2020;2533;2019;194;295;25;173;231;654;1475
03;2021;3151;2424;245;453;29;268;292;674;1917
04;2012;1713;1346;270;88;9;101;299;356;957
04;2013;1638;1264;236;121;17;95;306;348;889
04;2014;1671;1309;189;156;17;108;253;370;940
04;2015;1632;1273;180;160;19;88;236;387;921
04;2016;1524;1147;133;216;28;96;191;379;858
04;2017;1590;1191;138;243;18;96;183;411;900
04;2018;1751;1350;146;230;25;92;215;422;1022
04;2019;2064;1568;161;313;22;159;231;432;1242
04;2020;2014;1592;118;284;20;163;247;444;1160
04;2021;2498;1932;194;348;24;207;296;468;1527
05;2012;1530;1215;239;35;41;76;215;257;982
05;2013;1568;1185;254;97;32;106;179;291;992
05;2014;1569;1192;238;114;25;106;184;239;1040
05;2015;1454;1103;163;135;53;76;146;269;963
05;2016;1454;1087;184;148;35;106;168;247;933
05;2017;1517;1119;166;184;48;99;173;233;1012
05;2018;1683;1302;170;174;37;85;176;281;1141
05;2019;1896;1477;187;190;42;124;182;282;1308
05;2020;1911;1460;161;251;39;162;190;291;1268
05;2021;2242;1692;195;293;62;179;246;267;1550
06;2012;16969;12293;3644;820;212;648;3300;2854;10167
06;2013;15992;11295;3043;1434;220;545;2948;2837;9662
06;2014;15776;11017;2627;1950;182;625;2707;2728;9716
06;2015;15483;10544;2260;2472;207;493;2437;2622;9931
06;2016;16105;10584;1968;3318;235;484;2214;2836;10571
06;2017;16818;11421;1737;3444;216;528;2051;3206;11033
06;2018;19049;13660;1638;3490;261;551;2256;3127;13115
06;2019;21608;15913;1608;3817;270;629;2476;3355;15148
06;2020;22544;17107;1404;3781;252;786;2696;3451;15611
06;2021;26771;19974;1717;4828;252;970;2758;3507;19536
07;2012;2696;2178;385;96;37;201;471;537;1487
07;2013;2694;2168;339;148;39;224;447;565;1458
07;2014;2820;2271;336;179;34;234;448;598;1540
07;2015;2521;1978;275;230;38;167;363;575;1416
07;2016;2581;1999;274;275;33;220;336;557;1468
07;2017;2704;2095;268;315;26;196;319;621;1568
07;2018;2977;2383;264;284;46;260;370;636;1711
07;2019;3321;2685;271;332;33;318;402;639;1962
07;2020;3387;2766;250;344;27;335;438;647;1967
07;2021;4080;3240;357;450;33;415;481;729;2455
08;2012;1580;1229;283;42;26;88;285;428;779
08;2013;1836;1374;306;135;21;121;266;601;848
08;2014;1698;1346;199;123;30;124;233;542;799
08;2015;1360;1027;161;152;20;74;157;487;642
08;2016;1514;1142;167;179;26;73;187;524;730
08;2017;1679;1285;166;205;23;101;184;598;796
08;2018;1640;1280;154;183;23;92;193;594;761
08;2019;1921;1508;166;218;29;138;255;506;1022
08;2020;2096;1684;150;239;23;149;286;604;1057
08;2021;2354;1825;234;267;28;164;312;548;1330
09;2012;1503;1250;185;53;15;116;305;294;788
09;2013;1404;1144;153;97;10;114;279;290;721
09;2014;1468;1238;113;103;14;130;234;305;799
09;2015;1245;984;85;153;23;107;175;232;731
09;2016;1249;985;88;170;6;112;165;274;698
09;2017;1364;1066;93;191;14;107;170;286;801
09;2018;1517;1230;101;174;12;123;180;273;941
09;2019;1663;1371;100;174;18;139;227;274;1023
09;2020;1778;1433;101;225;19;159;232;331;1056
09;2021;2059;1668;119;244;28;225;279;342;1213
10;2012;1954;1500;313;89;52;119;293;433;1109
10;2013;1936;1482;300;106;48;118;265;553;1000
10;2014;2048;1561;283;155;49;134;265;537;1112
10;2015;1730;1250;239;187;54;70;186;538;936
10;2016;1778;1301;204;229;44;100;197;538;943
10;2017;1953;1428;202;268;55;105;202;602;1044
10;2018;2374;1795;227;285;67;123;213;623;1415
10;2019;2708;2112;210;320;66;149;236;715;1608
10;2020;2975;2387;181;356;51;142;242;859;1732
10;2021;3623;2868;247;452;56;222;306;812;2283
11;2012;3523;2774;565;130;54;208;612;824;1879
11;2013;3528;2757;436;283;52;211;555;958;1804
11;2014;3433;2727;356;311;39;217;527;930;1759
11;2015;3278;2458;304;459;57;213;468;855;1742
11;2016;3429;2554;323;514;38;174;432;944;1879
11;2017;3481;2663;266;496;56;179;449;924;1929
11;2018;3740;2951;275;471;43;206;475;872;2187
11;2019;4285;3411;261;575;38;247;564;953;2521
11;2020;4266;3352;256;621;37;262;490;1041;2473
11;2021;5087;4001;304;729;53;316;517;1047;3207
12;2012;1913;1515;291;54;53;141;307;360;1105
12;2013;1858;1423;276;109;50;158;279;396;1025
12;2014;1888;1470;227;146;45;183;251;353;1101
12;2015;1695;1299;192;159;45;146;187;330;1032
12;2016;1806;1367;181;200;58;153;249;325;1079
12;2017;1875;1437;173;219;46;186;193;419;1077
12;2018;2051;1572;201;230;48;186;238;420;1207
12;2019;2414;1884;216;267;47;232;299;426;1457
12;2020;2647;2064;205;351;27;283;300;577;1487
12;2021;3074;2279;305;444;46;364;337;545;1828
13;2012;22307;15546;4898;1481;382;1181;3761;4493;12872
13;2013;21881;14907;4211;2287;476;1143;3347;4591;12800
13;2014;21508;14398;3540;3135;435;1055;3283;4463;12707
13;2015;20970;13629;2948;3981;412;866;2832;4280;12992
13;2016;22190;14230;2673;4885;402;857;2660;4906;13767
13;2017;24407;15983;2425;5594;405;902;2800;5439;15266
13;2018;28923;20374;2552;5557;440;942;3094;5932;18955
13;2019;33354;24038;2528;6365;423;1375;3556;6172;22251
13;2020;34370;25064;2198;6685;423;1431;3678;6405;22856
13;2021;44107;32294;2781;8519;513;1740;4147;6579;31641
14;2012;5249;4033;903;186;127;275;802;1282;2890
14;2013;5015;3801;798;271;145;232;707;1255;2821
14;2014;5223;3923;797;340;163;272;659;1230;3062
14;2015;4861;3400;680;529;252;185;598;1155;2923
14;2016;4960;3538;652;643;127;255;568;1255;2882
14;2017;5414;3853;661;765;135;226;578;1462;3148
14;2018;6287;4830;638;685;134;270;599;1507;3911
14;2019;7554;5848;686;857;163;395;752;1707;4700
14;2020;7814;6010;668;979;157;434;706;1764;4910
14;2021;9244;7049;827;1193;175;561;779;1761;6143
15;2012;773;593;120;37;23;56;111;189;417
15;2013;739;520;122;63;34;71;101;150;417
15;2014;782;609;99;61;13;74;123;161;424
15;2015;778;578;92;85;23;67;86;168;457
15;2016;718;506;79;111;22;63;72;178;405
15;2017;751;534;92;106;19;77;71;165;438
15;2018;819;627;83;86;23;69;85;203;462
15;2019;900;679;89;113;19;68;94;211;527
15;2020;945;718;80;135;12;73;82;202;588
15;2021;1167;855;113;182;17;146;91;217;713
16;2012;2409;1920;381;66;42;146;411;582;1270
16;2013;2551;2041;342;118;50;184;379;638;1350
16;2014;2467;2007;267;158;35;188;352;516;1411
16;2015;2300;1840;277;152;31;159;266;599;1276
16;2016;2184;1661;274;209;40;146;270;497;1271
16;2017;2512;1929;263;263;57;166;273;608;1465
16;2018;2777;2238;245;246;48;176;296;720;1585
16;2019;3181;2546;298;285;52;200;305;736;1940
16;2020;3470;2824;243;354;49;254;326;864;2026
16;2021;3939;3081;297;498;63;260;362;799;2518
17;2012;5902;4543;1153;128;78;335;869;1339;3359
17;2013;5780;4342;1019;312;107;338;852;1353;3237
17;2014;5865;4434;964;376;91;400;782;1284;3399
17;2015;5635;4319;774;449;93;330;660;1298;3347
17;2016;5589;4095;756;639;99;356;643;1365;3225
