dep_code;year;marriages
01;2012;2405
01;2013;2316
01;2014;2340
01;2015;2270
01;2016;2167
01;2017;2191
01;2018;2248
01;2019;2228
01;2020;1494
01;2021;2181
02;2012;2144
02;2013;1953
02;2014;2033
02;2015;1948
02;2016;1889
02;2017;1872
02;2018;1947
02;2019;1847
02;2020;1112
02;2021;1500
03;2012;1183
03;2013;1161
03;2014;1211
03;2015;1139
03;2016;1031
03;2017;1064
03;2018;1103
03;2019;1041
03;2020;715
03;2021;984
04;2012;635
04;2013;556
04;2014;552
04;2015;583
04;2016;566
04;2017;676
04;2018;724
04;2019;587
04;2020;431
04;2021;566
05;2012;533
05;2013;440
05;2014;449
05;2015;502
05;2016;471
05;2017;503
05;2018;570
05;2019;488
05;2020;292
05;2021;496
06;2012;4247
06;2013;4039
06;2014;4327
06;2015;4318
06;2016;4462
06;2017;4331
06;2018;4419
06;2019;4189
06;2020;2913
06;2021;3921
07;2012;1257
07;2013;1175
07;2014;1194
07;2015;1222
07;2016;1204
07;2017;1226
07;2018;1217
07;2019;1230
07;2020;791
07;2021;1099
08;2012;1156
08;2013;966
08;2014;971
08;2015;1035
08;2016;941
08;2017;911
08;2018;928
08;2019;853
08;2020;537
08;2021;728
09;2012;548
09;2013;537
09;2014;540
09;2015;521
09;2016;475
09;2017;552
09;2018;517
09;2019;471
09;2020;381
09;2021;476
10;2012;1166
10;2013;1031
10;2014;1084
10;2015;1064
10;2016;1003
10;2017;995
10;2018;953
10;2019;971
10;2020;617
10;2021;882
11;2012;1426
11;2013;1264
11;2014;1352
11;2015;1292
11;2016;1261
11;2017;1298
11;2018;1368
11;2019;1300
11;2020;868
11;2021;1249
12;2012;993
12;2013;918
12;2014;933
12;2015;920
12;2016;883
12;2017;902
12;2018;914
12;2019;827
12;2020;598
12;2021;846
13;2012;7741
13;2013;7331
13;2014;7768
13;2015;7609
13;2016;7646
13;2017;7803
13;2018;7714
13;2019;7364
13;2020;5407
13;2021;7497
14;2012;2777
14;2013;2496
14;2014;2651
14;2015;2686
14;2016;2479
14;2017;2525
14;2018;2552
14;2019;2417
14;2020;1592
14;2021;2298
15;2012;521
15;2013;475
15;2014;486
15;2015;443
15;2016;433
15;2017;437
15;2018;420
15;2019;429
15;2020;270
15;2021;368
16;2012;1335
16;2013;1176
16;2014;1279
16;2015;1255
16;2016;1158
16;2017;1093
16;2018;1175
16;2019;1129
16;2020;669
16;2021;1108
17;2012;2421
17;2013;2259
17;2014;2392
17;2015;2395
17;2016;2306
17;2017;2289
17;2018;2377
17;2019;2386
17;2020;1578
17;2021;2212
18;2012;1117
18;2013;1106
18;2014;1086
18;2015;1039
18;2016;1040
18;2017;1009
18;2018;986
18;2019;894
18;2020;630
18;2021;884
19;2012;773
19;2013;765
19;2014;730
19;2015;816
19;2016;749
19;2017;755
19;2018;713
19;2019;686
19;2020;466
19;2021;688
21;2012;1905
21;2013;1805
21;2014;1909
21;2015;1733
21;2016;1751
21;2017;1882
21;2018;1747
21;2019;1771
21;2020;1140
21;2021;1618
22;2012;2210
22;2013;2010
22;2014;2060
22;2015;2063
22;2016;1980
22;2017;2019
22;2018;2000
