"dep_code";year;pop_jan1
"01";2012;612191
"02";2012;540888
"03";2012;342911
"04";2012;161241
"05";2012;139554
"06";2012;1082014
"07";2012;318407
"08";2012;282778
"09";2012;152366
"10";2012;305606
"11";2012;362339
"12";2012;276229
"13";2012;1984784
"14";2012;687854
"15";2012;147415
"16";2012;353657
"17";2012;628733
"18";2012;311897
"19";2012;241247
"2A";2012;145429
"2B";2012;170828
"21";2012;527403
"22";2012;595531
"23";2012;121517
"24";2012;416384
"25";2012;531062
"26";2012;491334
"27";2012;591616
"28";2012;432107
"29";2012;901293
"30";2012;725618
"31";2012;1279349
"32";2012;189530
"33";2012;1483712
"34";2012;1077627
"35";2012;1007901
"36";2012;228692
"37";2012;596937
"38";2012;1224993
"39";2012;260932
"40";2012;392884
"41";2012;331656
"42";2012;753763
"43";2012;225686
"44";2012;1313321
"45";2012;662297
"46";2012;174346
"47";2012;332119
"48";2012;76889
"49";2012;795557
"50";2012;499340
"51";2012;568750
"52";2012;182136
"53";2012;307453
"54";2012;733266
"55";2012;192800
"56";2012;732372
"57";2012;1046468
"58";2012;216786
"59";2012;2587128
"60";2012;810300
"61";2012;290015
"62";2012;1463628
"63";2012;638092
"64";2012;660871
"65";2012;228854
"66";2012;457793
"67";2012;1104667
"68";2012;755202
"69";2012;1762866
"70";2012;239750
"71";2012;555039
"72";2012;567382
"73";2012;421105
"74";2012;756501
"75";2012;2240621
"76";2012;1253931
"77";2012;1353946
"78";2012;1412356
"79";2012;371583
"80";2012;571154
"81";2012;378947
"82";2012;246971
"83";2012;1021669
"84";2012;546314
"85";2012;648901
"86";2012;430018
"87";2012;375869
"88";2012;377282
"89";2012;341902
"90";2012;143940
"91";2012;1237507
"92";2012;1586434
"93";2012;1538726
"94";2012;1341831
"95";2012;1187081
"01";2013;619497
"02";2013;540067
"03";2013;343431
"04";2013;161916
"05";2013;139279
"06";2013;1080771
"07";2013;320379
"08";2013;280907
"09";2013;152684
"10";2013;306581
"11";2013;364877
"12";2013;277740
"13";2013;1993177
"14";2013;689945
"15";2013;147035
"16";2013;353482
"17";2013;633417
"18";2013;311650
"19";2013;240781
"2A";2013;149234
"2B";2013;170974
"21";2013;529761
"22";2013;597085
"23";2013;120872
"24";2013;416909
"25";2013;533320
"26";2013;494712
"27";2013;595043
"28";2013;432967
"29";2013;903921
"30";2013;733201
"31";2013;1298562
"32";2013;190276
"33";2013;1505517
"34";2013;1092331
"35";2013;1019923
"36";2013;228091
"37";2013;600252
"38";2013;1235387
"39";2013;260502
"40";2013;397226
"41";2013;332001
"42";2013;756715
"43";2013;226203
"44";2013;1328620
"45";2013;665587
"46";2013;173758
"47";2013;333180
"48";2013;76607
"49";2013;800191
"50";2013;499919
"51";2013;569999
"52";2013;181521
"53";2013;307500
"54";2013;731004
"55";2013;192094
"56";2013;737778
"57";2013;1046873
"58";2013;215221
"59";2013;2595536
"60";2013;815400
"61";2013;288848
"62";2013;1465205
"63";2013;640999
"64";2013;664057
"65";2013;228868
"66";2013;462705
"67";2013;1109460
"68";2013;758723
"69";2013;1779845
"70";2013;238956
"71";2013;556222
"72";2013;569035
"73";2013;423715
"74";2013;769677
"75";2013;2229621
"76";2013;1254609
"77";2013;1365200
"78";2013;1418484
"79";2013;371632
"80";2013;571675
"81";2013;381927
"82";2013;250342
"83";2013;1028583
"84";2013;549949
"85";2013;655506
"86";2013;431248
"87";2013;375856
"88";2013;375226
"89";2013;341483
"90";2013;144318
"91";2013;1253931
"92";2013;1591403
"93";2013;1552482
"94";2013;1354005
"95";2013;1194681
"01";2014;626127
"02";2014;539783
"03";2014;343062
"04";2014;161588
"05";2014;139883
"06";2014;1083312
"07";2014;322381
"08";2014;279715
"09";2014;152574
"10";2014;308094
"11";2014;365478
"12";2014;278644
"13";2014;2006069
"14";2014;691670
"15";2014;146618
"16";2014;353853
"17";2014;637089
"18";2014;310270
"19";2014;241340
"2A";2014;151652
"2B";2014;172560
"21";2014;531380
"22";2014;597397
"23";2014;120581
"24";2014;416350
"25";2014;534710
"26";2014;499159
"27";2014;598347
"28";2014;433762
"29";2014;905855
"30";2014;736029
"31";2014;1317668
"32";2014;190625
"33";2014;1526016
"34";2014;1107398
"35";2014;1032240
"36";2014;226175
"37";2014;603924
"38";2014;1243597
"39";2014;260681
"40";2014;400477
"41";2014;333567
"42";2014;757305
"43";2014;226565
"44";2014;1346592
"45";2014;669737
"46";2014;173648
"47";2014;333234
"48";2014;76360
"49";2014;805888
"50";2014;499958
"51";2014;570817
"52";2014;180673
"53";2014;307471
"54";2014;732153
"55";2014;191530
"56";2014;741051
"57";2014;1045154
"58";2014;213569
"59";2014;2603472
"60";2014;818680
"61";2014;287750
"62";2014;1472589
"63";2014;644216
"64";2014;667249
"65";2014;228950
"66";2014;466327
"67";2014;1112815
"68";2014;760134
"69";2014;1801885
"70";2014;238347
"71";2014;555788
"72";2014;568760
"73";2014;426924
"74";2014;783127
"75";2014;2220445
"76";2014;1257920
"77";2014;1377846
"78";2014;1421670
"79";2014;373553
"80";2014;571632
"81";2014;384474
"82";2014;252578
"83";2014;1038212
"84";2014;554374
"85";2014;662122
"86";2014;433203
"87";2014;376199
"88";2014;373560
"89";2014;341814
"90";2014;144334
"91";2014;1268228
"92";2014;1597770
"93";2014;1571028
