"dep_code";"year";"unemployment_rate";"unemployment_rate_raw"
"01";2012;6.8;6.85
"01";2013;7.2;7.2
"01";2014;7.1;7.075
"01";2015;7.3;7.35
"01";2016;7.3;7.35
"01";2017;6.8;6.75
"01";2018;6.3;6.3
"01";2019;6.0;6.05
"01";2020;6.1;6.074999999999999
"01";2021;5.9;5.9
"02";2012;13.7;13.675
"02";2013;14.2;14.2
"02";2014;13.9;13.9
"02";2015;13.9;13.850000000000001
"02";2016;13.6;13.625
"02";2017;13.0;12.975
"02";2018;12.4;12.375
"02";2019;11.6;11.6
"02";2020;11.0;10.975
"02";2021;10.9;10.95
"03";2012;9.8;9.825
"03";2013;10.2;10.2
"03";2014;10.3;10.275
"03";2015;10.6;10.575
"03";2016;10.4;10.375
"03";2017;9.7;9.700000000000001
"03";2018;9.3;9.35
"03";2019;8.9;8.9
"03";2020;8.5;8.450000000000001
"03";2021;8.2;8.15
"04";2012;10.6;10.575
"04";2013;11.2;11.15
"04";2014;11.2;11.2
"04";2015;11.3;11.35
"04";2016;11.1;11.075
"04";2017;10.7;10.7
"04";2018;10.4;10.4
"04";2019;9.8;9.75
"04";2020;9.1;9.125
"04";2021;8.8;8.825
"05";2012;8.6;8.575
"05";2013;9.2;9.25
"05";2014;9.2;9.225
"05";2015;9.4;9.45
"05";2016;9.2;9.25
"05";2017;8.7;8.675
"05";2018;8.5;8.475
"05";2019;8.0;7.975
"05";2020;7.7;7.675
"05";2021;8.0;7.95
"06";2012;9.3;9.3
"06";2013;10.1;10.05
"06";2014;10.3;10.3
"06";2015;10.5;10.525
"06";2016;10.3;10.325
"06";2017;9.8;9.8
"06";2018;9.3;9.35
"06";2019;8.8;8.75
"06";2020;8.8;8.775
"06";2021;8.6;8.55
"07";2012;10.0;10.025
"07";2013;10.6;10.6
"07";2014;10.4;10.45
"07";2015;10.7;10.7
"07";2016;10.6;10.625
"07";2017;10.1;10.075
"07";2018;9.8;9.775
"07";2019;9.1;9.125
"07";2020;8.7;8.7
"07";2021;8.7;8.65
